indexDate;indexValue;changeRateVormonat;changeRateVorjahresmonat
Feb 23;1089.9;0.7;3.4
Mär 23;1091.5;0.2;2.9
Apr 23;1091.5;0;2.6
Mai 23;1094.2;0.3;2.2
Jun 23;1094.9;0.1;1.7
Jul 23;1093.4;-0.1;1.6
Aug 23;1095.7;0.2;1.6
Sep 23;1094.9;-0.1;1.7
Okt 23;1095.9;0.1;1.7
Nov 23;1093.2;-0.2;1.4
Dez 23;1093.8;0;1.7
Jan 24;1095.6;0.2;1.3
Feb 24;1102.6;0.6;1.2
Mär 24;1102.9;0;1
Apr 24;1106.4;0.3;1.4
Mai 24;1109.5;0.3;1.4
Jun 24;1109.5;0;1.3
Jul 24;1107.5;-0.2;1.3
Aug 24;1107.3;0;1.1
Sep 24;1104.1;-0.3;0.8
Okt 24;1102.7;-0.1;0.6
Nov 24;1101.2;-0.1;0.7
Dez 24;1100.6;-0.1;0.6
